from,to,t_abs,t_rel,wind_z_abs,wind_z_rel,wind_h_abs,wind_h_rel
2023-08-11 12:20:00,2023-08-11 12:30:00,0.47503574419604355,0.01848898295331339,0.28819511607686127,2.8210632130861697,0.467328961299393,0.46357873719505766
2023-08-11 12:30:00,2023-08-11 12:40:00,0.5236938312496042,0.0201320560253209,0.28064189506181875,2.5407036897335535,0.7386761157842846,0.6595199094533212
2023-08-11 12:40:00,2023-08-11 12:50:00,0.48146256084975086,0.018641866765132967,0.267355427053576,5.515325983570418,0.574985339526543,0.5921003213604396
2023-08-11 12:50:00,2023-08-11 13:00:00,0.41238755201334043,0.015765004329900464,0.3152028165412796,8.971617169106631,0.6387134521765531,0.5230531126745526
2023-08-11 13:00:00,2023-08-11 13:10:00,0.4407484599298737,0.01703536442942437,0.21459883439157404,-9.099597218017271,0.4977865964007518,0.5153115902566875
2023-08-11 13:10:00,2023-08-11 13:20:00,0.4923940223681527,0.018641726603045573,0.3458363437619977,2.7295686169060587,0.8405236830129081,0.5559457796821325
2023-08-11 13:20:00,2023-08-11 13:30:00,0.42064949482912734,0.015911122094949676,0.3554848703609699,3.8815454452517195,0.7053300713514709,0.5003632748609129
2023-08-11 13:30:00,2023-08-11 13:40:00,0.34471685150037756,0.013070465074629299,0.3651557155477951,4.705109617280727,0.7321416168628087,0.5142151086390262
2023-08-11 13:40:00,2023-08-11 13:50:00,0.32538112001757097,0.012195598923080784,0.3135743062745345,2.8360654773096274,0.544571522270322,0.40260982133657136
2023-08-11 13:50:00,2023-08-11 14:00:00,0.26116377949903813,0.009769663313818079,0.3765316539002915,6.678066578190212,0.6973288128631012,0.572469029136304
