frequencies,t_spec,wind3d_spec,wind2d_spec,t_spec_smooth,wind3d_spec_smooth,wind2d_spec_smooth
0.09091750763818165,147.31439336137194,92.78099433665028,123.04563661849916,291.0821676297116,534.6595632523205,465.2526848157395
0.09110267567817795,6.051392872188238,203.8173484333002,241.79760104189424,288.6350874008845,530.2788843938812,467.92800246590724
0.09128784371817425,435.6472687995581,1037.7159100193005,930.0027735687336,255.32729301160035,504.06072640122267,427.9325997089112
0.09147301175817055,49.17172949239621,931.5273866525969,946.3402193974368,261.75625326014733,566.4058451640134,484.811795561652
0.09165817979816684,93.1191173470905,156.48580945016343,139.36552550207585,235.17009448464972,602.3097628326852,535.0691650810427
0.09184334783816314,96.4687162643674,1547.100278517798,1633.6810332687396,239.03823343788932,585.2237796916984,513.8952184315558
0.09202851587815944,67.50184290392966,1575.929553529681,1838.0376782449694,175.00725453698362,732.1472972194157,662.7520342283373
0.09221368391815574,325.24263196030466,7.422260982839033,49.50032591487974,162.26084660314126,835.6330125200408,819.8835567862021
0.09239885195815203,106.40217858717948,41.413862379752246,55.6942757866958,143.9757717885587,828.4662009861177,820.4087068219145
0.09258401999814833,44.92204747613918,956.4996899463579,1017.8705606848675,139.51568285003904,701.6958377931452,738.7576789127353
0.09276918803814463,579.2476168232924,144.4442114338954,84.31094800860677,137.18413190645254,655.0693094248439,697.5335630028792
0.09295435607814093,107.68628535168712,519.8159215376222,575.0814154834362,180.37745425264455,660.2356311345684,693.66009414189
0.09313952411813721,282.50098763838065,539.1093252586036,384.7482500559074,190.54094350059447,691.8354884450007,726.9884755860442
0.09332469215813351,149.8600724771044,242.32613041364598,439.2937584246652,175.22631538447672,641.9748299689309,672.4630232347615
0.0935098601981298,49.159561434151456,54.070860332338654,78.40456986309457,185.29514968294757,573.0547043450358,621.7583771374843
0.0936950282381261,56.785849529008225,33.23470300045167,89.2534740603403,180.89919409165367,562.8132094332534,615.6622815735863
0.0938801962781224,215.34795855537317,680.4493836884601,701.057552048462,176.93090741811776,411.42665188151875,461.2195256527463
0.0940653643181187,127.04732236536115,861.6206314746548,743.6805755621865,191.7155189832621,321.87863489739664,347.5215130330956
0.094250532358115,119.86439373744517,119.62878335714855,117.44244593920516,171.89598802376776,407.29847194657833,416.9395379978262
0.09443570039811129,64.56167960289464,255.1827711503423,344.7752004808527,173.2422095387943,415.11996404431795,423.11435501307716
0.09462086843810759,246.511801795229,1193.3330983795445,1253.4720625560408,175.20617275146986,344.98827216471636,355.8048189926757
0.09480603647810389,170.37261121813813,978.7860768472231,1062.552171447052,141.93259124866353,449.8771608592812,472.72093044741905
0.09499120451810018,91.59670461721797,943.3482336161942,877.2122510306367,148.20122383530864,495.77417639024134,521.4680060437807
0.09517637255809648,269.0813294346599,100.07633317109809,238.46564668740757,129.11079553319234,536.1980672260004,570.7144061412534
0.09536154059809278,617.6487251956595,325.873763584892,334.89216922754986,141.03292122894788,521.9730875017456,550.6315949675278
0.09554670863808908,6.048709494754907,415.47624033328003,371.73452535236794,197.8818376050987,549.1533778270009,576.2803549039734
0.09573187667808537,94.81438487759692,24.660105798386304,87.88831240949963,192.80812360167334,587.3775315602837,604.5284600331761
0.09591704471808167,126.55019479019789,166.92825961923165,99.78935676191907,180.7547662338957,521.7986037712764,543.2115360692799
0.09610221275807797,198.38239469661278,423.17919128363906,360.1746145724527,180.7050534763794,452.32936658573396,478.8224141892532
0.09628738079807427,211.82624679354268,362.527845120644,411.9636974270912,188.55685357229618,482.68440737838307,503.0956310525779
0.09647254883807056,129.86426374320186,628.0202792980456,494.82492075086975,203.28331029136095,493.4189147754132,509.81448074720174
0.09665771687806685,292.4566249636434,736.0433109815543,824.9400787562404,191.61855648615824,436.88763286726333,433.9497665666846
0.09684288491806314,609.1899648396085,109.12753910371015,152.72783769314645,203.82695786070877,412.61335628069645,410.18855729760344
0.09702805295805944,65.57308726201629,549.3400504698637,516.375936797075,255.58628388294784,329.19128682944813,337.74011596385446
0.09721322099805574,64.13162856978147,220.96845513242718,229.00446559499898,235.23545966568344,374.1176585593247,365.5311449748212
0.09739838903805204,139.70291737723628,548.8392042971265,398.3658604479946,179.88375000309566,363.62712771407826,354.94237461156615
0.09758355707804833,354.21963277760665,238.69203004650797,168.42847730632013,193.2491707913438,376.9634241104628,357.60550812112876
0.09776872511804463,101.22890359985675,458.69960409776024,540.4293308566533,219.18969558134478,398.366616535275,365.6595246108108
0.09795389315804093,159.32203756203035,95.61226738074542,227.17072214178245,216.6575664623107,427.54375098312784,409.72352202028424
0.09813906119803723,348.64968621569767,273.1155719255623,252.40583057939043,212.7515307488524,394.7870585928385,396.42313277721723
0.09832422923803352,6.29139857906289,380.17938335700256,384.3016369400819,226.43387469106793,385.8458312733303,380.4673460924472
0.09850939727802982,320.17437023863897,177.97258153988923,159.75010138519747,214.07658817465403,361.061741679226,369.4150177113684
0.09869456531802612,243.48480757807238,10.168884164449826,26.299130343340032,216.84836270215357,305.2546687350595,302.8960199742641
0.09887973335802241,35.93200367277093,278.40618052372406,156.86385889301587,180.27784697599995,295.3588032411335,290.2531492392834
0.09906490139801871,51.09391950200111,407.5076673902796,394.65424769793765,177.31373861707544,268.2654162465195,254.3019414488775
0.09925006943801501,109.38609304586137,79.33305997096454,121.61645830974915,176.0099677102974,286.9193374723048,270.86691965917134
0.0994352374780113,152.45400876082505,163.22800249547876,109.06630933884985,172.9782852771599,239.96872303968857,243.19197944534685
0.0996204055180076,650.1180628556917,11.724335942708821,21.566109234387326,152.80172287548174,232.42232028458565,237.25576264859984
0.0998055735580039,140.4497691716228,286.95371545900605,171.14367183071533,207.69063880106523,187.7247934690805,185.3694404863732
0.0999907415980002,224.54902685697832,130.2238845530262,113.00448374975946,205.80341196202448,206.85893827690657,179.7667354552665
0.10017590963799648,9.86432864177246,1.1792277748763307,7.676227123937981,193.39334602615256,192.56976953965298,165.82660077230338
0.10036107767799278,33.444489655135925,539.149312053956,396.8588039490125,193.75063903242355,154.66975398144035,128.164059790689
0.10054624571798908,361.3643458398395,296.94945902730166,175.76117680069967,165.07765097407318,190.78742703284703,151.87493004707054
0.10073141375798537,682.9312339138971,549.5299419753269,424.47741882762364,176.86560480024988,219.46548451913222,166.82113469280648
0.10091658179798167,329.7733798546221,458.46037079111187,268.03984378073113,241.5655278243625,246.57786066429247,193.58249068626728
