Mean,Std,Lower Range,Upper Range,PUO,Device,Variable
"[0.06, 0.061, 0.058, 0.03, 0.0]","[0.082, 0.044, 0.027, 0.007, 0.0]","[-0.446, -0.28, -0.191, -0.062, 0.0]","[0.948, 0.566, 0.342, 0.216, 0.0]",PUO_09,SONIC,t
"[0.024, 0.021, 0.016, 0.006, 0.0]","[0.022, 0.01, 0.005, 0.001, 0.0]","[-0.434, -0.166, -0.108, -0.026, 0.0]","[0.432, 0.241, 0.202, 0.068, 0.0]",PUO_09,SONIC,wind_z
"[0.065, 0.062, 0.061, 0.04, 0.0]","[0.086, 0.045, 0.033, 0.008, 0.0]","[-0.409, -0.238, -0.155, -0.089, 0.0]","[0.989, 0.589, 0.455, 0.195, 0.0]",PUO_09,SONIC,wind_h
"[0.229, 0.228, 0.228, 0.137, 0.0]","[1.96, 1.224, 0.738, 0.258, 0.0]","[-3.175, -2.215, -1.493, -0.547, 0.0]","[3.307, 2.45, 1.938, 1.273, 0.0]",PUO_10,EXPE,t
"[0.131, 0.123, 0.116, 0.068, 0.0]","[0.396, 0.148, 0.084, 0.027, 0.0]","[-1.584, -0.444, -0.339, -0.173, 0.0]","[2.783, 1.224, 0.694, 0.431, 0.0]",PUO_10,SONIC,t
"[-0.014, -0.013, -0.013, -0.008, 0.0]","[0.005, 0.001, 0.001, 0.0, 0.0]","[-0.227, -0.109, -0.072, -0.039, 0.0]","[0.14, 0.059, 0.033, 0.013, 0.0]",PUO_10,SONIC,wind_z
"[0.062, 0.057, 0.05, 0.031, 0.0]","[0.074, 0.028, 0.018, 0.006, 0.0]","[-0.396, -0.209, -0.177, -0.115, 0.0]","[1.082, 0.397, 0.303, 0.147, 0.0]",PUO_10,SONIC,wind_h
"[0.005, 0.012, 0.011, 0.019, 0.0]","[1.484, 0.52, 0.176, 0.05, 0.0]","[-3.306, -2.085, -0.995, -0.415, 0.0]","[2.682, 1.491, 0.787, 0.53, 0.0]",PUO_11,EXPE,t
"[0.021, 0.019, 0.016, 0.012, 0.0]","[0.214, 0.076, 0.04, 0.016, 0.0]","[-1.073, -0.576, -0.293, -0.152, 0.0]","[2.312, 0.658, 0.524, 0.263, 0.0]",PUO_11,SONIC,t
"[-0.012, -0.01, -0.01, -0.005, 0.0]","[0.02, 0.006, 0.002, 0.001, 0.0]","[-0.436, -0.165, -0.132, -0.065, 0.0]","[0.282, 0.164, 0.076, 0.047, 0.0]",PUO_11,SONIC,wind_z
"[-0.001, 0.0, 0.002, 0.004, 0.0]","[0.059, 0.018, 0.009, 0.002, 0.0]","[-0.493, -0.227, -0.16, -0.085, 0.0]","[0.82, 0.402, 0.304, 0.117, 0.0]",PUO_11,SONIC,wind_h
