Date;Time;Module Address;Module Command;Value1;Value2;Value3;Value4
2018-01-01;00:00:14;1;2;34;2195;66502;11
2018-01-01;00:00:14;1;1;49;0;0;0
2018-01-01;00:00:14;1;0;48;2116;66142;995389
2018-01-01;00:00:14;1;2;34;2197;66502;11
2018-01-01;00:00:15;1;0;48;2120;66087;995351
2018-01-01;00:00:15;1;2;34;2199;66364;144
2018-01-01;00:00:15;1;1;49;0;0;0
2018-01-01;00:00:16;1;0;48;2122;65486;995367
2018-01-01;00:00:16;1;2;34;2198;66204;11
2018-01-01;00:00:16;1;1;49;0;0;0
2018-01-01;00:00:17;1;0;48;2125;65070;995411
2018-01-01;00:00:17;1;2;34;2195;66013;11
2018-01-01;00:00:17;1;1;49;0;0;0
2018-01-01;00:00:18;1;0;48;2127;65544;995400
2018-01-01;00:00:18;1;2;34;2193;65823;2593
2018-01-01;00:00:19;1;0;48;2131;65151;995380
2018-01-01;00:00:19;1;2;34;2191;65685;44
2018-01-01;00:00:19;1;1;49;0;0;0
2018-01-01;00:00:20;1;0;48;2135;65544;995387
2018-01-01;00:00:20;1;2;34;2190;65601;11
2018-01-01;00:00:20;1;1;49;0;0;0
2018-01-01;00:00:21;1;0;48;2137;65168;995404
2018-01-01;00:00:21;1;2;34;2189;65517;11
2018-01-01;00:00:21;1;1;49;0;0;0
2018-01-01;00:00:22;1;0;48;2139;64926;995403
2018-01-01;00:00:22;1;2;34;2191;65464;11
2018-01-01;00:00:23;1;0;48;2139;64567;995358
2018-01-01;00:00:23;1;2;34;2190;65441;11
2018-01-01;00:00:23;1;1;49;0;0;0
2018-01-01;00:00:24;1;0;48;2159;72288;995346
2018-01-01;00:00:24;1;2;34;2232;64999;11
2018-01-01;00:00:24;1;1;49;0;0;0
2018-01-01;00:00:25;1;0;48;2158;71310;995401
2018-01-01;00:00:25;1;2;34;2238;66601;11
2018-01-01;00:00:25;1;1;49;0;0;0
2018-01-01;00:00:26;1;0;48;2157;70970;995356
2018-01-01;00:00:26;1;2;34;2236;67310;11
2018-01-01;00:00:26;1;1;49;0;0;0
2018-01-01;00:00:27;1;0;48;2156;70037;995348
2018-01-01;00:00:27;1;2;34;2239;67532;11
2018-01-01;00:00:27;1;1;49;0;0;0
2018-01-01;00:00:28;1;0;48;2160;69170;995409
2018-01-01;00:00:28;1;2;34;2243;67623;0
2018-01-01;00:00:28;1;1;49;0;0;0
2018-01-01;00:00:29;1;0;48;2161;68548;995345
2018-01-01;00:00:29;1;2;34;2245;67486;11
2018-01-01;00:00:29;1;1;49;0;0;0
2018-01-01;00:00:30;1;0;48;2163;67351;995335
2018-01-01;00:00:30;1;2;34;2243;67211;11
2018-01-01;00:00:30;1;1;49;0;0;0
2018-01-01;00:00:31;1;0;48;2165;67067;995369
2018-01-01;00:00:31;1;2;34;2240;66898;11
2018-01-01;00:00:31;1;1;49;0;0;0
2018-01-01;00:00:32;1;0;48;2166;66575;995378
2018-01-01;00:00:32;1;2;34;2235;66654;11
2018-01-01;00:00:32;1;1;49;0;0;0
2018-01-01;00:00:33;1;0;48;2170;65915;995340
2018-01-01;00:00:33;1;2;34;2233;66410;10
2018-01-01;00:00:34;1;0;48;2170;65958;995375
2018-01-01;00:00:34;1;2;34;2232;66242;11
2018-01-01;00:00:34;1;1;49;0;0;0
2018-01-01;00:00:35;1;0;48;2170;65496;995402
2018-01-01;00:00:35;1;2;34;2227;66052;11
2018-01-01;00:00:36;1;0;48;2170;65320;995367
2018-01-01;00:00:36;1;2;34;2225;65891;91
2018-01-01;00:00:36;1;1;49;0;0;0
2018-01-01;00:00:37;1;0;48;2170;64808;995402
2018-01-01;00:00:37;1;2;34;2217;65693;11
2018-01-01;00:00:37;1;1;49;0;0;0
2018-01-01;00:00:38;1;0;48;2170;64571;995340
2018-01-01;00:00:38;1;2;34;2212;65525;52
2018-01-01;00:00:38;1;1;49;0;0;0
2018-01-01;00:00:39;1;0;48;2170;64325;995367
2018-01-01;00:00:39;1;2;34;2208;65388;11
2018-01-01;00:00:40;1;0;48;2171;63670;995384
2018-01-01;00:00:40;1;2;34;2202;65250;11
2018-01-01;00:00:40;1;1;49;0;0;0
2018-01-01;00:00:41;1;0;48;2169;63575;995349
