Date;Time;Module Address;Module Command;Value1;Value2;Value3;Value4
2023-06-01;10:50:50;1;101;2018-01-01;00:00:44
2023-06-01;10:50:50;1;0;48;3241;27351;1003754
2023-06-01;10:50:50;1;2;34;3145;38052;11
2023-06-01;10:50:50;1;1;49;1553;510306836;134354093
2023-06-01;10:50:51;1;0;48;3240;27277;1003745
2023-06-01;10:50:51;1;2;34;3140;37983;11
2023-06-01;10:50:51;1;1;49;1663;510306550;134354182
2023-06-01;10:50:52;1;0;48;3235;27106;1003768
2023-06-01;10:50:52;1;2;34;3103;37853;11
2023-06-01;10:50:52;1;1;49;1761;510306297;134354260
2023-06-01;10:50:53;1;0;48;3226;27185;1003776
2023-06-01;10:50:53;1;2;34;3060;37746;11
2023-06-01;10:50:54;1;0;48;3213;27366;1003751
2023-06-01;10:50:54;1;2;34;3014;37754;11
2023-06-01;10:50:54;1;1;49;1939;510305825;134354414
2023-06-01;10:50:55;1;0;48;3211;27270;1003799
2023-06-01;10:50:55;1;2;34;3044;37960;11
2023-06-01;10:50:56;1;0;48;3212;27386;1003761
2023-06-01;10:50:56;1;2;34;3081;38136;11
2023-06-01;10:50:56;1;1;49;2100;510305387;134354563
2023-06-01;10:50:57;1;0;48;3215;27493;1003759
2023-06-01;10:50:57;1;2;34;3110;38281;11
2023-06-01;10:50:57;1;1;49;2175;510305177;134354631
2023-06-01;10:50:58;1;0;48;3217;27736;1003785
2023-06-01;10:50:58;1;2;34;3123;38334;11
2023-06-01;10:50:58;1;1;49;2242;510304992;134354693
2023-06-01;10:50:59;1;0;48;3219;27695;1003792
2023-06-01;10:50:59;1;2;34;3123;38303;11
2023-06-01;10:50:59;1;1;49;2297;510304838;134354746
2023-06-01;10:51:00;1;0;48;3221;27497;1003772
2023-06-01;10:51:00;1;2;34;3132;38265;11
2023-06-01;10:51:00;1;1;49;2347;510304695;134354790
2023-06-01;10:51:01;1;0;48;3226;27416;1003831
2023-06-01;10:51:01;1;2;34;3141;38258;168
2023-06-01;10:51:01;1;1;49;2389;510304578;134354827
2023-06-01;10:51:02;1;0;48;3234;27578;1003797
