Date;Time;Module Address;Module Command;Value1;Value2;Value3;Value4
2018-01-01;00:00:01;1;0;48;2161;64375;995219
2018-01-01;00:00:01;1;1;49;0;0;0
2018-01-01;00:00:01;1;2;34;2254;65899;11
2018-01-01;00:00:02;1;0;48;2163;64552;995254
2018-01-01;00:00:02;1;1;49;0;0;0
2018-01-01;00:00:02;1;2;34;2262;65929;11
2018-01-01;00:00:03;1;0;48;2164;64234;995317
2018-01-01;00:00:03;1;1;49;0;0;0
2018-01-01;00:00:03;1;2;34;2268;65983;125
2018-01-01;00:00:04;1;0;48;2166;63919;995297
2018-01-01;00:00:04;1;1;49;0;0;0
2018-01-01;00:00:04;1;2;34;2269;66044;11
2018-01-01;00:00:05;1;0;48;2169;64837;995304
2018-01-01;00:00:05;1;1;49;0;0;0
2018-01-01;00:00:05;1;2;34;2272;65929;11
2018-01-01;00:00:06;1;0;48;2173;64997;995257
2018-01-01;00:00:06;1;1;49;0;0;0
2018-01-01;00:00:06;1;2;34;2271;66013;11
2018-01-01;00:00:07;1;0;48;2175;65132;995256
2018-01-01;00:00:07;1;1;49;0;0;0
2018-01-01;00:00:07;1;2;34;2270;65929;11
2018-01-01;00:00:08;1;0;48;2178;65640;995201
2018-01-01;00:00:08;1;1;49;0;0;0
2018-01-01;00:00:08;1;2;34;2271;65846;11
2018-01-01;00:00:09;1;0;48;2183;66191;995287
2018-01-01;00:00:09;1;2;34;2287;65914;11
2018-01-01;00:00:09;1;1;49;0;0;0
2018-01-01;00:00:10;1;0;48;2186;66155;995294
2018-01-01;00:00:10;1;2;34;2305;66113;11
2018-01-01;00:00:10;1;1;49;0;0;0
2018-01-01;00:00:11;1;0;48;2193;67243;995227
2018-01-01;00:00:11;1;2;34;2323;66280;11
2018-01-01;00:00:12;1;0;48;2198;67321;995243
2018-01-01;00:00:12;1;2;34;2347;66624;11
2018-01-01;00:00:12;1;1;49;0;0;0
2018-01-01;00:00:13;1;0;48;2202;66301;995258
2018-01-01;00:00:13;1;2;34;2363;66830;11
2018-01-01;00:00:13;1;1;49;0;0;0
2018-01-01;00:00:14;1;0;48;2205;66757;995283
2018-01-01;00:00:14;1;2;34;2365;66746;11
2018-01-01;00:00:15;1;0;48;2208;66947;995281
2018-01-01;00:00:15;1;2;34;2368;66715;11
2018-01-01;00:00:15;1;1;49;0;0;0
2018-01-01;00:00:16;1;0;48;2214;67367;995286
2018-01-01;00:00:16;1;2;34;2362;66494;11
2018-01-01;00:00:16;1;1;49;0;0;0
2018-01-01;00:00:17;1;0;48;2221;67901;995238
2018-01-01;00:00:17;1;2;34;2362;66082;11
2018-01-01;00:00:17;1;1;49;0;0;0
2018-01-01;00:00:18;1;0;48;2224;67372;995290
2018-01-01;00:00:18;1;2;34;2359;65937;11
2018-01-01;00:00:18;1;1;49;0;0;0
2018-01-01;00:00:19;1;0;48;2224;65822;995209
2018-01-01;00:00:19;1;2;34;2343;65716;11
2018-01-01;00:00:20;1;0;48;2218;64477;995167
2018-01-01;00:00:20;1;2;34;2317;65281;11
2018-01-01;00:00:20;1;1;49;0;0;0
2018-01-01;00:00:21;1;0;48;2218;63451;995105
2018-01-01;00:00:21;1;2;34;2290;64747;11
2018-01-01;00:00:21;1;1;49;0;0;0
2018-01-01;00:00:22;1;0;48;2219;62785;995122
2018-01-01;00:00:22;1;2;34;2270;64365;11
2018-01-01;00:00:22;1;1;49;0;0;0
2018-01-01;00:00:23;1;0;48;2220;62375;995085
2018-01-01;00:00:23;1;2;34;2256;64137;132
2018-01-01;00:00:24;1;0;48;2215;60110;995160
2018-01-01;00:00:24;1;2;34;2225;63915;11
2018-01-01;00:00:24;1;1;49;0;0;0
2018-01-01;00:00:25;1;0;48;2192;53182;995228
2018-01-01;00:00:25;1;2;34;2177;63358;11
2018-01-01;00:00:25;1;1;49;0;0;0
2018-01-01;00:00:26;1;0;48;2166;48435;995306
2018-01-01;00:00:26;1;2;34;2099;61886;11
2018-01-01;00:00:26;1;1;49;0;0;0
2018-01-01;00:00:27;1;0;48;2166;45369;995360
2018-01-01;00:00:27;1;2;34;2011;60062;44
2018-01-01;00:00:27;1;1;49;0;0;0
2018-01-01;00:00:28;1;0;48;2145;43154;995300
2018-01-01;00:00:28;1;2;34;1922;58353;11
2018-01-01;00:00:28;1;1;49;0;0;0
2018-01-01;00:00:29;1;0;48;2138;41947;995305
2018-01-01;00:00:29;1;2;34;1855;56904;11
2018-01-01;00:00:29;1;1;49;0;0;0
2018-01-01;00:00:30;1;0;48;2127;40943;995293
2018-01-01;00:00:30;1;2;34;1803;55737;11
2018-01-01;00:00:30;1;1;49;0;0;0
2018-01-01;00:00:31;1;0;48;2084;39767;995362
2018-01-01;00:00:31;1;2;34;1716;54737;11
2018-01-01;00:00:31;1;1;49;0;0;0
2018-01-01;00:00:32;1;0;48;2049;39398;995327
2018-01-01;00:00:32;1;2;34;1639;53982;11
2018-01-01;00:00:32;1;1;49;0;0;0
2018-01-01;00:00:33;1;0;48;2035;38925;995281
2018-01-01;00:00:33;1;2;34;1573;53379;11
2018-01-01;00:00:33;1;1;49;0;0;0
2018-01-01;00:00:34;1;0;48;2032;38687;995282
2018-01-01;00:00:34;1;2;34;1547;53020;11
2018-01-01;00:00:35;1;0;48;2013;38273;995319
2018-01-01;00:00:35;1;2;34;1526;52769;11
2018-01-01;00:00:35;1;1;49;0;0;0
2018-01-01;00:00:36;1;0;48;1994;38369;995338
2018-01-01;00:00:36;1;2;34;1504;52639;11
2018-01-01;00:00:36;1;1;49;0;0;0
2018-01-01;00:00:37;1;0;48;1967;38162;995334
2018-01-01;00:00:37;1;2;34;1475;52532;11
2018-01-01;00:00:37;1;1;49;0;0;0
2018-01-01;00:00:38;1;0;48;1949;37971;995289
2018-01-01;00:00:38;1;2;34;1449;52456;11
2018-01-01;00:00:39;1;0;48;1947;38092;995263
2018-01-01;00:00:39;1;2;34;1449;52456;11
2018-01-01;00:00:39;1;1;49;0;0;0
2018-01-01;00:00:40;1;0;48;1948;37910;995299
2018-01-01;00:00:40;1;2;34;1472;52532;0
2018-01-01;00:00:40;1;1;49;0;0;0
2018-01-01;00:00:41;1;0;48;1954;38211;995296
2018-01-01;00:00:41;1;2;34;1502;52662;11
2018-01-01;00:00:41;1;1;49;0;0;0
2018-01-01;00:00:42;1;0;48;1944;38203;995238
2018-01-01;00:00:42;1;2;34;1521;52769;11
2018-01-01;00:00:42;1;1;49;0;0;0
2018-01-01;00:00:43;1;0;48;1943;37946;995274
2018-01-01;00:00:43;1;2;34;1536;52853;11
2018-01-01;00:00:43;1;1;49;0;0;0
2018-01-01;00:00:44;1;0;48;1905;37679;995302
2018-01-01;00:00:44;1;2;34;1491;52784;11
2018-01-01;00:00:44;1;1;49;0;0;0
2018-01-01;00:00:45;1;0;48;1882;37680;995250
2018-01-01;00:00:45;1;2;34;1446;52685;11
2018-01-01;00:00:46;1;0;48;1860;37844;995314
2018-01-01;00:00:46;1;2;34;1402;52555;11
2018-01-01;00:00:46;1;1;49;0;0;0
2018-01-01;00:00:47;1;0;48;1840;37706;995243
2018-01-01;00:00:47;1;2;34;1383;52540;11
2018-01-01;00:00:47;1;1;49;0;0;0
2018-01-01;00:00:48;1;0;48;1837;38028;995244
2018-01-01;00:00:48;1;2;34;1391;52616;0
2018-01-01;00:00:48;1;1;49;0;0;0
2018-01-01;00:00:49;1;0;48;1844;38238;995250
2018-01-01;00:00:49;1;2;34;1417;52753;11
2018-01-01;00:00:49;1;1;49;0;0;0
2018-01-01;00:00:50;1;0;48;1838;38111;995315
2018-01-01;00:00:50;1;2;34;1430;52891;11
2018-01-01;00:00:50;1;1;49;0;0;0
2018-01-01;00:00:51;1;0;48;1813;37998;995264
2018-01-01;00:00:51;1;2;34;1415;52982;44
2018-01-01;00:00:51;1;1;49;0;0;0
2018-01-01;00:00:52;1;0;48;1795;38094;995254
2018-01-01;00:00:52;1;2;34;1402;53013;11
2018-01-01;00:00:53;1;0;48;1790;38242;995265
2018-01-01;00:00:53;1;2;34;1413;53066;11
2018-01-01;00:00:53;1;1;49;0;0;0
2018-01-01;00:00:54;1;0;48;1792;38529;995273
