Date;Time;Module Address;Module Command;Value1;Value2;Value3;Value4
2023-04-22;09:12:10;1;101;2018-01-01;00:01:31
2023-04-22;09:12:10;1;0;48;2564;31124;999383
2023-04-22;09:12:10;1;2;34;2632;39745;11
2023-04-22;09:12:10;1;1;49;1061;510307173;134354196
2023-04-22;09:12:11;1;0;48;2566;30826;999390
2023-04-22;09:12:11;1;2;34;2629;39547;11
2023-04-22;09:12:11;1;1;49;1107;510307024;134354154
2023-04-22;09:12:12;1;0;48;2561;30376;999295
2023-04-22;09:12:12;1;2;34;2603;39211;11
2023-04-22;09:12:12;1;1;49;1167;510306852;134354089
2023-04-22;09:12:13;1;0;48;2573;30664;999422
2023-04-22;09:12:13;1;2;34;2616;38990;66
2023-04-22;09:12:13;1;1;49;1213;510306750;134354029
2023-04-22;09:12:14;1;0;48;2573;30426;999395
2023-04-22;09:12:14;1;2;34;2558;38761;11
2023-04-22;09:12:14;1;1;49;1249;510306681;134353974
2023-04-22;09:12:15;1;0;48;2570;30124;999397
2023-04-22;09:12:15;1;2;34;2516;38502;11
2023-04-22;09:12:15;1;1;49;1274;510306677;134353926
2023-04-22;09:12:16;1;0;48;2569;30216;999352
2023-04-22;09:12:16;1;2;34;2513;38372;11
2023-04-22;09:12:17;1;0;48;2572;30116;999359
2023-04-22;09:12:17;1;2;34;2511;38372;11
2023-04-22;09:12:17;1;1;49;1281;510306755;134353894
2023-04-22;09:12:18;1;0;48;2567;29946;999399
2023-04-22;09:12:18;1;2;34;2501;38372;11
2023-04-22;09:12:18;1;1;49;1281;510306802;134353878
2023-04-22;09:12:19;1;0;48;2580;30472;999353
2023-04-22;09:12:19;1;2;34;2531;38486;11
2023-04-22;09:12:19;1;1;49;1278;510306857;134353876
2023-04-22;09:12:20;1;0;48;2582;30184;999361
2023-04-22;09:12:20;1;2;34;2519;38555;11
2023-04-22;09:12:20;1;1;49;1276;510306833;134353891
2023-04-22;09:12:21;1;0;48;2579;29779;999399
2023-04-22;09:12:21;1;2;34;2484;38479;11
2023-04-22;09:12:21;1;1;49;1280;510306847;134353877
2023-04-22;09:12:22;1;0;48;2582;29645;999389
2023-04-22;09:12:22;1;2;34;2471;38395;11
2023-04-22;09:12:22;1;1;49;1402;510306209;134353825
2023-04-22;09:12:23;1;0;48;2578;29581;999346
2023-04-22;09:12:23;1;2;34;2462;38311;11
2023-04-22;09:12:23;1;1;49;1458;510305839;134353827
2023-04-22;09:12:24;1;0;48;2581;29427;999398
2023-04-22;09:12:24;1;2;34;2452;38311;11
2023-04-22;09:12:24;1;1;49;1508;510305510;134353825
2023-04-22;09:12:25;1;0;48;2576;29652;999365
2023-04-22;09:12:25;1;2;34;2447;38372;11
2023-04-22;09:12:25;1;1;49;1549;510305242;134353823
2023-04-22;09:12:26;1;0;48;2578;29653;999400
2023-04-22;09:12:26;1;2;34;2460;38441;11
2023-04-22;09:12:26;1;1;49;1585;510305006;134353825
2023-04-22;09:12:27;1;0;48;2587;29949;999367
2023-04-22;09:12:27;1;2;34;2491;38578;11
2023-04-22;09:12:27;1;1;49;1600;510304879;134353838
2023-04-22;09:12:28;1;0;48;2587;30074;999367
2023-04-22;09:12:28;1;2;34;2520;38723;11
2023-04-22;09:12:29;1;0;48;2597;30318;999369
2023-04-22;09:12:29;1;2;34;2539;38906;11
2023-04-22;09:12:30;1;101;2023-04-22;09:12:30
2023-04-22;09:12:30;1;0;48;2592;29818;999372
2023-04-22;09:12:30;1;2;34;2524;38891;11
2023-04-22;09:12:30;1;1;49;1618;510304658;134353872
2023-04-22;09:12:31;1;0;48;2599;30174;999431
2023-04-22;09:12:31;1;2;34;2548;38845;11
2023-04-22;09:12:31;1;1;49;1617;510304626;134353888
2023-04-22;09:12:32;1;0;48;2608;30564;999443
2023-04-22;09:12:32;1;2;34;2585;38906;240
2023-04-22;09:12:32;1;1;49;1588;510304771;134353909
2023-04-22;09:12:33;1;0;48;2619;30654;999452
2023-04-22;09:12:33;1;2;34;2623;38982;11
2023-04-22;09:12:33;1;1;49;1574;510304838;134353922
2023-04-22;09:12:34;1;0;48;2624;30927;999404
2023-04-22;09:12:34;1;2;34;2650;38937;11
2023-04-22;09:12:34;1;1;49;1559;510304911;134353935
2023-04-22;09:12:35;1;0;48;2625;30327;999421
2023-04-22;09:12:35;1;2;34;2646;38898;11
2023-04-22;09:12:36;1;0;48;2628;30007;999473
2023-04-22;09:12:36;1;2;34;2641;38670;11
2023-04-22;09:12:36;1;1;49;1526;510305071;134353964
2023-04-22;09:12:37;1;0;48;2633;29751;999488
2023-04-22;09:12:37;1;2;34;2640;38471;11
2023-04-22;09:12:37;1;1;49;1515;510305126;134353976
2023-04-22;09:12:38;1;0;48;2641;29674;999418
2023-04-22;09:12:38;1;2;34;2660;38288;11
2023-04-22;09:12:38;1;1;49;1503;510305187;134353988
2023-04-22;09:12:39;1;0;48;2651;30095;999529
2023-04-22;09:12:39;1;2;34;2688;38227;11
2023-04-22;09:12:40;1;101;2023-04-22;09:12:40
2023-04-22;09:12:40;1;0;48;2654;30025;999419
2023-04-22;09:12:40;1;2;34;2707;38151;11
2023-04-22;09:12:41;1;0;48;2666;30178;999491
2023-04-22;09:12:41;1;2;34;2730;38105;11
2023-04-22;09:12:41;1;1;49;1469;510305332;134354031
2023-04-22;09:12:42;1;0;48;2672;30037;999451
2023-04-22;09:12:42;1;2;34;2748;38021;11
2023-04-22;09:12:42;1;1;49;1461;510305365;134354042
2023-04-22;09:12:43;1;0;48;2680;29897;999426
2023-04-22;09:12:43;1;2;34;2778;37930;44
2023-04-22;09:12:43;1;1;49;1455;510305367;134354059
2023-04-22;09:12:44;1;0;48;2678;30466;999392
2023-04-22;09:12:44;1;2;34;2789;37830;11
2023-04-22;09:12:44;1;1;49;1454;510305361;134354070
2023-04-22;09:12:45;1;0;48;2689;30650;999438
2023-04-22;09:12:45;1;2;34;2805;37846;11
2023-04-22;09:12:45;1;1;49;1452;510305359;134354079
2023-04-22;09:12:46;1;0;48;2696;30748;999505
2023-04-22;09:12:46;1;2;34;2807;37777;11
2023-04-22;09:12:47;1;0;48;2698;30397;999423
2023-04-22;09:12:47;1;2;34;2803;37678;11
2023-04-22;09:12:47;1;1;49;1452;510305368;134354081
2023-04-22;09:12:48;1;0;48;2708;30072;999442
2023-04-22;09:12:48;1;2;34;2805;37510;11
2023-04-22;09:12:48;1;1;49;1453;510305386;134354075
2023-04-22;09:12:49;1;0;48;2715;30190;999446
2023-04-22;09:12:49;1;2;34;2816;37365;11
2023-04-22;09:12:50;1;101;2023-04-22;09:12:50
2023-04-22;09:12:50;1;0;48;2727;30157;999374
2023-04-22;09:12:50;1;2;34;2837;37251;44
2023-04-22;09:12:51;1;0;48;2734;30286;999386
2023-04-22;09:12:51;1;2;34;2855;37205;11
2023-04-22;09:12:51;1;1;49;1445;510305481;134354063
2023-04-22;09:12:52;1;0;48;2736;29914;999340
2023-04-22;09:12:52;1;2;34;2825;37159;11
2023-04-22;09:12:52;1;1;49;1435;510305557;134354059
2023-04-22;09:12:53;1;0;48;2737;29354;999420
2023-04-22;09:12:53;1;2;34;2785;36884;11
2023-04-22;09:12:54;1;0;48;2725;29024;999429
2023-04-22;09:12:54;1;2;34;2731;36564;9
2023-04-22;09:12:54;1;1;49;1425;510305653;134354045
2023-04-22;09:12:55;1;0;48;2711;28381;999349
2023-04-22;09:12:55;1;2;34;2605;36205;1254
2023-04-22;09:12:55;1;1;49;1415;510305724;134354040
2023-04-22;09:12:56;1;0;48;2700;28550;999457
2023-04-22;09:12:56;1;2;34;2574;36114;11
2023-04-22;09:12:56;1;1;49;1407;510305787;134354035
2023-04-22;09:12:57;1;0;48;2706;29312;999425
2023-04-22;09:12:57;1;2;34;2606;36358;61079
2023-04-22;09:12:58;1;0;48;2707;29241;999397
2023-04-22;09:12:58;1;2;34;2612;36655;11
2023-04-22;09:12:58;1;1;49;1400;510305797;134354042
2023-04-22;09:12:59;1;0;48;2715;28882;999446
2023-04-22;09:12:59;1;2;34;2622;36877;133
2023-04-22;09:12:59;1;1;49;1399;510305769;134354052
2023-04-22;09:13:00;1;0;48;2712;28838;999475
2023-04-22;09:13:00;1;2;34;2622;36945;11
2023-04-22;09:13:00;1;1;49;1399;510305728;134354066
2023-04-22;09:13:01;1;0;48;2717;28686;999408
