datetime,t,wind_z,wind_h,t_det,wind_z_det,wind_h_det,t_tap,wind_z_tap,wind_h_tap
2023-08-11 12:20:00.000,24.8,-0.01,1.5711460785044782,-0.8687430631406983,-0.08222823554905447,0.5492383038021937,-0.0005685909646180937,-5.3818250474028324e-05,0.00035947560356348695
2023-08-11 12:20:00.500,24.8,0.12,1.4504137340772805,-0.8688349542955898,0.047771543234030614,0.42847290955206074,-0.0017059523473339385,9.379914552578324e-05,0.0008413040499872194
2023-08-11 12:20:01.000,24.8,-0.05,1.4041723540933286,-0.8689268454504848,-0.12222867798288431,0.38219847974517385,-0.0028435513768954577,-0.0003999916994095769,0.001250739367781071
2023-08-11 12:20:01.500,24.97,0.21,1.3940229553346675,-0.6990187366053782,0.13777110080020077,0.3720160311635776,-0.0032025356492217222,0.0006311946141641773,0.0017043814986549104
2023-08-11 12:20:02.000,24.84,-0.02,1.2323960402403116,-0.8291106277602722,-0.09222912041671415,0.21035606624628644,-0.004883836489020952,-0.0005432712216682537,0.0012390923450055777
2023-08-11 12:20:02.500,24.84,0.05,1.1122050170719426,-0.8292025189151637,-0.022229341633629066,0.09013199325498245,-0.005969778003082188,-0.00016003838830718137,0.0006488981623108123
2023-08-11 12:20:03.000,24.96,0.28,1.0465180361560904,-0.7092944100700578,0.20777043714945603,0.02441196251619515,-0.006034944559105808,0.0017677893007704622,0.00020770619121283562
2023-08-11 12:20:03.500,25.23,0.42,1.1651609330903607,-0.4393863012249497,0.3477702159325411,0.1430218096275302,-0.0043135956314943455,0.0034141712657592333,0.0014040907772904835
2023-08-11 12:20:04.000,25.06,0.24,1.0660675400742674,-0.6094781923798465,0.16776999471562615,0.04389536678850181,-0.006781203330716419,0.0018666499657970365,0.0004883905793362562
2023-08-11 12:20:04.500,25.37,0.27,1.0041912168506553,-0.2995700835347357,0.19776977349871128,-0.01801400625804561,-0.0037251990493250542,0.002459296881483178,-0.0002240068774398364
2023-08-11 12:20:05.000,25.42,0.27,0.930859817588019,-0.24966197468963003,0.19776955228179632,-0.091378455343617,-0.0034313629477793427,0.002718151671844694,-0.0012559086992770644
2023-08-11 12:20:05.500,25.33,0.33,0.9436630754670864,-0.33975386584452494,0.2577693310648814,-0.07860824728748461,-0.005114279699426668,0.0038801750017560814,-0.0011832817922780158
2023-08-11 12:20:06.000,24.97,0.09,0.9580187889597991,-0.6998457569994194,0.01776910984796648,-0.0642855836177072,-0.011450688455959982,0.00029073340657399083,-0.0010518234666050002
2023-08-11 12:20:06.500,25.18,0.13,1.0833743581975714,-0.48993764815431007,0.05776888863105156,0.0610369357971301,-0.00865746229426945,0.0010208073965927583,0.0010785555513279663
2023-08-11 12:20:07.000,25.27,0.14,1.1344161493913951,-0.40002953930920526,0.06776866741413666,0.11204567716801872,-0.007592287033257057,0.0012862029533068035,0.002126550312670071
2023-08-11 12:20:07.500,25.11,0.19,1.2684636376341263,-0.5601214304640969,0.11776844619722172,0.2460601155878146,-0.011363777478333089,0.002389293363486212,0.004992082515957359
2023-08-11 12:20:08.000,25.11,0.34,1.2033287165193058,-0.560213321618992,0.26776822498030683,0.1808921446500591,-0.012098798413833987,0.005782928842720775,0.003906686093151568
2023-08-11 12:20:08.500,25.23,0.39,1.0113851887386922,-0.44030521277388246,0.31776800376339187,-0.011084432953489598,-0.01008538596863206,0.00727861690813403,-0.0002538938475769913
2023-08-11 12:20:09.000,25.61,0.38,0.5936328831862332,-0.060397103928778506,0.30776778254647696,-0.4288697883288839,-0.0014624600974023837,0.007452312643516835,-0.010384685880833163
2023-08-11 12:20:09.500,25.76,0.5,0.260768096208106,0.08951100491633213,0.42776756132956206,-0.7617676251299461,0.002284559710833876,0.01091776968796902,-0.019442342614924026
2023-08-11 12:20:10.000,26.38,0.46,0.05385164807134505,0.7094191137614345,0.38776734011264713,-0.9687171230896422,0.019034578074394095,0.01040426958746478,-0.025991859189817362
2023-08-11 12:20:10.500,26.78,0.49,0.14317821063276354,1.1093272226065451,0.4177671188957322,-0.879423610351159,0.03121615649420067,0.011755849397564013,-0.024746733412809658
2023-08-11 12:20:11.000,25.97,0.52,0.41048751503547587,0.2992353314516478,0.4477668976788173,-0.6121473557713817,0.008811933882499803,0.013185917177548804,-0.018026621386038187
2023-08-11 12:20:11.500,25.51,0.19,0.61,-0.16085655970324098,0.11776667646190235,-0.41266792062979285,-0.004947397145669302,0.003622099838871767,-0.012692252628053614
2023-08-11 12:20:12.000,25.28,0.06,1.0423531071570709,-0.39094845085813645,-0.012233544755012565,0.01965213670434296,-0.012535733857227494,-0.0003922677295246972,0.0006301443448893207
2023-08-11 12:20:12.500,25.23,0.02,0.9135097153287425,-0.44104034201302866,-0.052233765971927484,-0.10922430494692048,-0.014718938043233673,-0.0017432091622195782,-0.003645167174483762
2023-08-11 12:20:13.000,25.57,0.34,1.3209844813622906,-0.10113223316792386,0.26776601281115764,0.2982174112636924,-0.0035074137640996104,0.009286516963711255,0.010342616000812094
2023-08-11 12:20:13.500,25.68,0.28,1.0700467279516348,0.008775875677184075,0.2077657915942427,0.0472466080301015,0.0003158406238627361,0.0074774164594269485,0.0017003885087412247
2023-08-11 12:20:14.000,25.23,0.15,1.2059850745345069,-0.44131601547771027,0.07776557037732774,0.1831519047900385,-0.0164600987039396,0.0029004815580812,0.006831155736315775
2023-08-11 12:20:14.500,25.4,0.26,1.290620006043607,-0.2714079066326036,0.18776534916041282,0.2677537864762034,-0.010477923031863911,0.007248834055586501,0.010336852750518818
