datetime,t,rh,p,t_det,rh_det,p_det,t_tap,rh_tap,p_tap
2023-07-08 13:30:00,37.8,22.021,1005.554,-0.4830636749792774,2.1276247645956303,-0.1092703459137283,-0.0007025873877222038,0.003094503691411777,-0.00015892721988322004
2023-07-08 13:30:01,37.83,22.193,1005.661,-0.452843525696494,2.2995910855733683,-0.0022031230168977345,-0.001975896360208885,0.010033827134802725,-9.612907115068762e-06
2023-07-08 13:30:02,37.79,21.872,1005.647,-0.492623376413718,1.9785574065511042,-0.016135900119934377,-0.003582426711513899,0.014388348671337965,-0.00011734254274491943
2023-07-08 13:30:03,37.8,21.819,1005.609,-0.48240322713094486,1.9255237275288408,-0.0540686772231993,-0.004911304523287092,0.0196035865036658,-0.0005504684133101114
2023-07-08 13:30:04,37.81,21.788,1005.635,-0.4721830778481575,1.8944900485065794,-0.02800145432638601,-0.00618068552466503,0.024798108548887837,-0.00036652771254186596
2023-07-08 13:30:05,37.81,21.99,1005.662,-0.47196292856538236,2.096456369484315,-0.0009342314294826792,-0.007550542676727754,0.03353946322819327,-1.4945992261915844e-05
2023-07-08 13:30:06,37.86,21.875,1005.657,-0.42174277928261006,1.981422690462054,-0.005867008532618456,-0.007973724978805167,0.037461980089815564,-0.00011092522453372996
2023-07-08 13:30:07,37.93,22.048,1005.659,-0.35152262999982753,2.1543890114397897,-0.0037997856358060744,-0.007668425760492804,0.04699774860428079,-8.289188680108625e-05
2023-07-08 13:30:08,37.98,22.104,1005.663,-0.30130248071705523,2.210355332417528,0.0002674372610727005,-0.007449094749883671,0.05464656733958571,6.611845653042296e-06
2023-07-08 13:30:09,38.0,22.031,1005.697,-0.28108233143426986,2.137321653395265,0.034334660157810504,-0.007766547321488349,0.059056041258921346,0.0009486962824101018
2023-07-08 13:30:10,38.02,21.936,1005.649,-0.2608621821514916,2.042287974373007,-0.01359811694533164,-0.007966343195576491,0.06236843828365204,-0.00041526627396372363
2023-07-08 13:30:11,38.01,21.924,1005.715,-0.27064203286872157,2.030254295350744,0.05246910595155896,-0.00905186779196325,0.06790369282547745,0.0017548767469774409
2023-07-08 13:30:12,38.07,22.023,1005.699,-0.21042188358593705,2.1292206163284817,0.03653632884834224,-0.007649469745978337,0.07740358754305245,0.0013282056856047837
2023-07-08 13:30:13,38.1,22.025,1005.621,-0.18020173430316078,2.131186937306218,-0.04139644825477262,-0.007074686888206726,0.08367000650677582,-0.0016252169315621905
2023-07-08 13:30:14,38.13,22.047,1005.756,-0.1499815850203845,2.1531532582839574,0.09367077464207796,-0.0063241662592778925,0.09079047394547099,0.003949748580076274
2023-07-08 13:30:15,38.16,21.9,1005.661,-0.11976143573760822,2.006119579261693,-0.0012620024612033376,-0.00539793503129656,0.09042061901789683,-5.6881476520014385e-05
2023-07-08 13:30:16,38.19,21.646,1005.713,-0.08954128645483195,1.7520859002394324,0.050805220435677256,-0.004296023349496401,0.08406180250212208,0.002437539395618133
2023-07-08 13:30:17,38.22,21.541,1005.654,-0.05932113717205567,1.6470522212171694,-0.008127556667432145,-0.0030184643317962075,0.08380770530292013,-0.00041355815270603045
2023-07-08 13:30:18,38.25,21.416,1005.659,-0.02910098788927229,1.5220185421949068,-0.0030603337705770173,-0.0015652940683179388,0.08186686324988467,-0.0001646102983302216
2023-07-08 13:30:19,38.29,21.279,1005.628,0.011119161393501997,1.3849848631726438,-0.03399311087366641,0.0006303762547647174,0.07851865262634017,-0.0019271642133791079
2023-07-08 13:30:20,38.31,21.492,1005.699,0.03133931067628026,1.5979511841503822,0.037074112023105954,0.0018677209776172719,0.09523269285258797,0.0022094964840594397
2023-07-08 13:30:21,38.32,21.418,1005.652,0.04155945995906052,1.523917505128118,-0.009858665080059836,0.002597474670281857,0.09524515292231168,-0.0006161685655557917
2023-07-08 13:30:22,38.31,21.492,1005.662,0.03177960924183765,1.597883826105857,0.00020855781679074425,0.0020784858901273565,0.10450660237355681,1.3640333843521548e-05
2023-07-08 13:30:23,38.26,21.17,1005.723,-0.01800024147538437,1.2758501470835952,0.0612757807135722,-0.0012295155368699522,0.08714758525335821,0.0041854729851375175
2023-07-08 13:30:24,38.2,20.977,1005.656,-0.0777800921926044,1.0828164680613312,-0.005656996389575397,-0.005538510168168335,0.07710443443249146,-0.0004028194251476342
2023-07-08 13:30:25,38.21,20.956,1005.617,-0.06755994290983125,1.0617827890390679,-0.04458977349270299,-0.005006765366734962,0.07868711941114542,-0.003304480791699052
2023-07-08 13:30:26,38.28,21.012,1005.675,0.0026602063729512793,1.1177491100168062,0.01347744940414941,0.00020485998092352006,0.08607680354561656,0.0010378856527468072
2023-07-08 13:30:27,38.34,21.1,1005.576,0.06288035565572869,1.2057154309945446,-0.0854553276990373,0.005024704435919503,0.09634747786327032,-0.00682864719330175
2023-07-08 13:30:28,38.37,21.07,1005.627,0.09310050493849786,1.1756817519722809,-0.034388104802246744,0.0077094859324381365,0.09735609848563259,-0.002847617318415879
2023-07-08 13:30:29,38.39,20.815,1005.69,0.11332065422128323,0.9206480729500193,0.028679118094714795,0.009712344371275132,0.07890574927127493,0.0024579938504098752
2023-07-08 13:30:30,38.42,21.071,1005.714,0.1435408035040595,1.176614393927757,0.05274634099157538,0.01271836923532439,0.10425339655526883,0.004673566150994897
2023-07-08 13:30:31,38.43,20.998,1005.648,0.15376095278683266,1.1035807149054975,-0.013186436111595867,0.014069376067222179,0.10097942173956781,-0.0012065802486125635
