datetime,t,t_det,t_tap,wind_z,wind_z_det,wind_z_tap,wind_h,wind_h_det,wind_h_tap
2023-07-11 11:36:00.000,29.2,-0.3747600415428458,-0.0004087997082919764,-0.1,-0.1999207594859872,-0.00021807967525811617,0.3764306044943742,-0.36696455458508953,-0.0004002961528403199
2023-07-11 11:36:00.500,29.15,-0.4249093970698894,-0.0013905102684075772,-0.09,-0.18992681268118158,-0.0006215329317267767,0.3138470965295043,-0.4295647332260613,-0.0014057447931619953
2023-07-11 11:36:01.000,29.1,-0.4750587525969294,-0.00259103070784923,-0.04,-0.139932865876376,-0.0007632116039143183,0.32310988842807026,-0.4203186120035974,-0.002292471036116062
2023-07-11 11:36:01.500,29.24,-0.3352081081239753,-0.002559562387182303,-0.01,-0.10993891907157037,-0.0008394651421707191,0.4939635614091388,-0.24948160969863076,-0.0019049770247268033
2023-07-11 11:36:02.000,29.29,-0.28535746365101744,-0.0028014453459011025,-0.07,-0.16994497226676478,-0.0016684040624858653,0.5923681287847955,-0.15109371299907592,-0.0014833352303475625
2023-07-11 11:36:02.500,29.29,-0.2855068191780603,-0.003425753689026681,0.07,-0.029951025461959158,-0.00035937788197783004,0.41303752856126763,-0.3304409838987057,-0.00396491202156052
2023-07-11 11:36:03.000,29.24,-0.3356561747051039,-0.00475971361055835,0.17,0.07004292134284645,0.0009932313812838817,0.41231056256176607,-0.33118462057430914,-0.004696305520195076
2023-07-11 11:36:03.500,29.32,-0.2558055302321449,-0.004185421434229506,0.16,0.06003686814765205,0.0009823071243266553,0.5154609587543949,-0.2280508950577823,-0.0037313075421155344
2023-07-11 11:36:04.000,29.27,-0.3059548857591885,-0.005673339951169019,-0.01,-0.10996918504754234,-0.0020391652494112325,0.45177427992306074,-0.29175424456521837,-0.0054100166026365875
2023-07-11 11:36:04.500,29.38,-0.19610424128623194,-0.004064123339017766,0.15,0.05002476175726325,0.0010367282239946674,0.3712142238654117,-0.3723309712989693,-0.007716299149729475
2023-07-11 11:36:05.000,29.36,-0.21625359681327438,-0.0049533844426385655,0.13,0.03001870856206887,0.000687591818913625,0.3996248240537617,-0.3439370417867212,-0.007878030317824055
2023-07-11 11:36:05.500,29.15,-0.4264029523403181,-0.010696947416557459,-0.04,-0.13998734463312554,-0.0035117891569590386,0.4031128874149275,-0.3404656491016574,-0.008541083324108523
2023-07-11 11:36:06.000,29.12,-0.45655230786735856,-0.012448989605523297,-0.01,-0.10999339782831992,-0.002999232820960279,0.43,-0.3135952071926868,-0.008550922659705161
2023-07-11 11:36:06.500,29.2,-0.37670166339440314,-0.011093175846434286,0.04,-0.05999945102351432,-0.0017668742285231302,0.3889730067755345,-0.3546388710932542,-0.010443466916416224
2023-07-11 11:36:07.000,29.18,-0.3968510189214456,-0.012551928187673556,0.12,0.019994495781291283,0.0006324022447456233,0.45880278987817846,-0.2848257586667121,-0.009008701750345972
2023-07-11 11:36:07.500,29.32,-0.2570003744484879,-0.008689005298281476,0.2,0.0999884425860969,0.0033805402395304597,0.3361547262794322,-0.40749049294156026,-0.01377697234786803
2023-07-11 11:36:08.000,29.24,-0.3371497299755326,-0.012133898082384116,0.17,0.06998238939090251,0.0025186411405180575,0.40024992192379,-0.3434119679733045,-0.012359273786045843
2023-07-11 11:36:08.500,29.36,-0.21729908550257448,-0.008294263247877657,-0.1,-0.2000236638042919,-0.007634863807920254,0.33241540277189324,-0.4112631578013031,-0.015697833642825173
2023-07-11 11:36:09.000,30.05,0.4725515589703839,0.01906735237713019,-0.13,-0.2300297169994863,-0.009281648929055012,0.38999999999999996,-0.3536952312492983,-0.01427152546705192
2023-07-11 11:36:09.500,29.9,0.3224022034433389,0.013711626781776412,0.04,-0.060035770194680683,-0.0025532954355587407,0.45880278987817846,-0.2849091120472217,-0.012117061761351727
2023-07-11 11:36:10.000,29.36,-0.2177471520837031,-0.00973529090133099,-0.06,-0.16004182338987508,-0.0071553344885123835,0.19697715603592209,-0.54675141656558,-0.024444793146753147
2023-07-11 11:36:10.500,29.5,-0.0778965076107454,-0.0036524523932460764,-0.03,-0.13004787658506947,-0.006097753193805374,0.24041630560342617,-0.5033289376741779,-0.023600351792208728
2023-07-11 11:36:11.000,29.38,-0.19804586313778927,-0.009717649914337444,-0.08,-0.18005392978026385,-0.00883482758782978,0.07280109889280519,-0.6709608150609008,-0.032922486759867226
2023-07-11 11:36:11.500,29.36,-0.2181952186648317,-0.011181760798413981,-0.05,-0.15005998297545825,-0.007690062345605811,0.04,-0.7037785846298078,-0.03606625221455987
2023-07-11 11:36:12.000,29.84,0.26165542580812584,0.013979009344209847,-0.08,-0.18006603617065264,-0.009620074930340734,0.0806225774829855,-0.6631726778229242,-0.03543017321914608
2023-07-11 11:36:12.500,30.36,0.7815060702810825,0.0434546116387676,-0.04,-0.14007208936584706,-0.007788523309402337,0.1131370849898476,-0.6306748409921641,-0.03506784058094269
2023-07-11 11:36:13.000,30.28,0.7013567147540414,0.040525674450700336,0.0,-0.10007814256104144,-0.005782698218668724,0.0,-0.7438285966581136,-0.04297977751002106
2023-07-11 11:36:13.500,30.1,0.5212073592269988,0.031251440684344704,0.03,-0.07008419575623584,-0.004202227861545037,0.044721359549995794,-0.6991239077842197,-0.04191926485368407
2023-07-11 11:36:14.000,30.02,0.44105800369995407,0.027406153123232233,0.0,-0.10009024895143023,-0.0062193377421882546,0.03,-0.7138619380103174,-0.044357452801757444
