datetime,t,t_det,t_tap
2023-08-12 12:00:00,31.6,-2.552972025939532,-0.005569716527177647
2023-08-12 12:00:01,31.6,-2.5526167400212003,-0.016706718217862685
2023-08-12 12:00:02,31.62,-2.5322614541028763,-0.027622139628545473
2023-08-12 12:00:03,31.57,-2.5819061681845525,-0.039428385519955596
2023-08-12 12:00:04,31.51,-2.641550882266227,-0.05186339764151645
2023-08-12 12:00:05,31.51,-2.6411955963478952,-0.06337806027089297
2023-08-12 12:00:06,31.51,-2.640840310429571,-0.0748884167214243
2023-08-12 12:00:07,31.58,-2.5704850245112496,-0.08410391240911884
2023-08-12 12:00:08,31.61,-2.540129738592924,-0.09418736163783527
2023-08-12 12:00:09,31.65,-2.4997744526745933,-0.10358990383980676
2023-08-12 12:00:10,31.71,-2.4394191667562666,-0.11172263382066863
2023-08-12 12:00:11,31.81,-2.3390638808379443,-0.11732080540844055
2023-08-12 12:00:12,31.87,-2.2787085949196104,-0.12422266343028418
2023-08-12 12:00:13,31.9,-2.2483533090012884,-0.132362366192716
2023-08-12 12:00:14,31.93,-2.217998023082963,-0.14023510940284517
2023-08-12 12:00:15,31.93,-2.2176427371646383,-0.14986821260673772
2023-08-12 12:00:16,31.96,-2.1872874512463056,-0.1573373895845453
2023-08-12 12:00:17,31.95,-2.1969321653279827,-0.16759071728679256
2023-08-12 12:00:18,31.9,-2.246576879409659,-0.18115012853709916
2023-08-12 12:00:19,31.94,-2.206221593491332,-0.18748951478099124
2023-08-12 12:00:20,31.97,-2.1758663075730027,-0.19436772920783393
2023-08-12 12:00:21,31.99,-2.1555110216546787,-0.20191514225439694
2023-08-12 12:00:22,32.0,-2.1451557357363527,-0.2102620307784319
2023-08-12 12:00:23,32.02,-2.124800449818018,-0.21749139966577433
2023-08-12 12:00:24,32.04,-2.1044451638996975,-0.22453992801749156
2023-08-12 12:00:25,32.05,-2.094089877981375,-0.2325179157420517
2023-08-12 12:00:26,32.06,-2.0837345920630455,-0.2404016688157632
2023-08-12 12:00:27,32.08,-2.063379306144718,-0.24699404522614005
2023-08-12 12:00:28,32.08,-2.0630240202263934,-0.25588605267795567
2023-08-12 12:00:29,32.09,-2.052668734308064,-0.26348648306380507
2023-08-12 12:00:30,32.1,-2.0423134483897414,-0.2709922779955644
2023-08-12 12:00:31,32.12,-2.021958162471414,-0.27703322262317753
2023-08-12 12:00:32,32.11,-2.0316028765530874,-0.28713293125080624
2023-08-12 12:00:33,32.12,-2.021247590634765,-0.2943974669099619
2023-08-12 12:00:34,32.15,-1.9908923047164322,-0.2985676595958384
2023-08-12 12:00:35,32.18,-1.9605370187981066,-0.30247026471433797
2023-08-12 12:00:36,32.19,-1.9501817328797841,-0.3092771616503396
2023-08-12 12:00:37,32.19,-1.9498264469614597,-0.31761790211507596
2023-08-12 12:00:38,32.21,-1.929471161043125,-0.3226055575045344
2023-08-12 12:00:39,32.21,-1.9291158751248005,-0.3308419236168173
2023-08-12 12:00:40,32.23,-1.90876058920648,-0.3355530108678058
2023-08-12 12:00:41,32.23,-1.9084053032881556,-0.34368464249094344
2023-08-12 12:00:42,32.23,-1.908050017369824,-0.35180668110103086
2023-08-12 12:00:43,32.25,-1.8876947314514965,-0.35614563523775583
2023-08-12 12:00:44,32.25,-1.887339445533172,-0.3641623685016107
2023-08-12 12:00:45,32.25,-1.8869841596148405,-0.372169126456003
2023-08-12 12:00:46,32.21,-1.9266288736965151,-0.388225972196057
2023-08-12 12:00:47,32.23,-1.9062735877781947,-0.39226766170927607
2023-08-12 12:00:48,32.29,-1.845918301859868,-0.38772624448506754
2023-08-12 12:00:49,32.28,-1.8555630159415344,-0.3976641384052615
2023-08-12 12:00:50,32.29,-1.845207730023212,-0.4033052907049632
2023-08-12 12:00:51,32.33,-1.8048524441048883,-0.40216583970473985
2023-08-12 12:00:52,32.31,-1.8244971581865599,-0.4142999965978377
2023-08-12 12:00:53,32.28,-1.8541418722682295,-0.42890645370210323
2023-08-12 12:00:54,32.19,-1.9437865863499084,-0.4578903977863923
2023-08-12 12:00:55,32.14,-1.9934313004315811,-0.47803372582654874
2023-08-12 12:00:56,32.21,-1.9230760145132493,-0.4693039611255992
2023-08-12 12:00:57,32.26,-1.8727207285949277,-0.46493520540619726
2023-08-12 12:00:58,32.3,-1.832365442676604,-0.4626568402894938
2023-08-12 12:00:59,32.31,-1.8220101567582745,-0.4677302453651242
2023-08-12 12:01:00,32.26,-1.8716548708399472,-0.4883629522949605
2023-08-12 12:01:01,32.24,-1.8912995849216188,-0.5014505216021741
2023-08-12 12:01:02,32.23,-1.9009442990032994,-0.5120004400556261
2023-08-12 12:01:03,32.2,-1.930589013084969,-0.5280924572426123
2023-08-12 12:01:04,32.22,-1.9102337271666414,-0.5305365595781464
2023-08-12 12:01:05,32.2,-1.929878441248313,-0.5440768308773603
2023-08-12 12:01:06,32.23,-1.8995231553299945,-0.5434658975197142
2023-08-12 12:01:07,32.24,-1.8891678694116578,-0.5483964852516633
2023-08-12 12:01:08,32.22,-1.9088125834933365,-0.5620638770495745
2023-08-12 12:01:09,32.19,-1.9384572975750132,-0.5788706433684526
2023-08-12 12:01:10,32.2,-1.9281020116566836,-0.5838018519344857
2023-08-12 12:01:11,32.23,-1.897746725738358,-0.5824969935132838
2023-08-12 12:01:12,32.3,-1.8273914398200333,-0.5684852876489406
2023-08-12 12:01:13,32.33,-1.7970361539017077,-0.5664886589955833
2023-08-12 12:01:14,32.38,-1.746680867983379,-0.557842396028295
2023-08-12 12:01:15,32.42,-1.7063255820650483,-0.5520041403659783
2023-08-12 12:01:16,32.45,-1.6759702961467227,-0.5490984490666153
2023-08-12 12:01:17,32.5,-1.625615010228401,-0.5392970347106428
2023-08-12 12:01:18,32.52,-1.6052597243100664,-0.53914668527759
2023-08-12 12:01:19,32.53,-1.594904438391744,-0.5422184493636295
2023-08-12 12:01:20,32.54,-1.5845491524734214,-0.5451949063093171
2023-08-12 12:01:21,32.6,-1.5241938665550947,-0.5306679819184903
2023-08-12 12:01:22,32.63,-1.493838580636762,-0.5262047116158869
2023-08-12 12:01:23,32.67,-1.4534832947184384,-0.5179201991705846
2023-08-12 12:01:24,32.71,-1.4131280088001148,-0.5092967771920036
2023-08-12 12:01:25,32.75,-1.3727727228817912,-0.5003351605291878
2023-08-12 12:01:26,32.77,-1.3524174369634565,-0.49840668090712503
2023-08-12 12:01:27,32.8,-1.322062151045138,-0.4925777530512729
2023-08-12 12:01:28,32.82,-1.3017068651268104,-0.49025990625647703
2023-08-12 12:01:29,32.85,-1.2713515792084777,-0.483961503597747
2023-08-12 12:01:30,32.85,-1.2709962932901533,-0.4889498750413124
2023-08-12 12:01:31,32.76,-1.3606410073718322,-0.5289110530557188
2023-08-12 12:01:32,32.73,-1.390285721453509,-0.5460186274417934
2023-08-12 12:01:33,32.73,-1.3899304355351774,-0.5514512959910506
2023-08-12 12:01:34,32.74,-1.3795751496168478,-0.5528631313870429
2023-08-12 12:01:35,32.76,-1.3592198636985273,-0.5501342219506367
2023-08-12 12:01:36,32.76,-1.3588645777802029,-0.5554069802720688
