datetime,t,t_det,t_tap
2023-07-11 11:36:00,29.44,0.1654270326144065,0.0003609055125683695
2023-07-11 11:36:01,29.45,0.17497707470674229,0.0011452140996643203
2023-07-11 11:36:02,29.45,0.17452711679908361,0.0019037577582602576
2023-07-11 11:36:03,29.45,0.1740771588914214,0.0026583387946338896
2023-07-11 11:36:04,29.47,0.19362720098375874,0.0038016169161273847
2023-07-11 11:36:05,29.49,0.2131772430760961,0.00511539553478795
2023-07-11 11:36:06,29.49,0.21272728516843742,0.00603247743409363
2023-07-11 11:36:07,29.48,0.20227732726077718,0.006618328623612885
2023-07-11 11:36:08,29.49,0.21182736935311297,0.00785450472821315
2023-07-11 11:36:09,29.5,0.2213774114454523,0.009173813557220542
2023-07-11 11:36:10,29.5,0.22092745353779364,0.010118227047201786
2023-07-11 11:36:11,29.53,0.25047749563013255,0.012563240262377531
2023-07-11 11:36:12,29.54,0.26002753772246834,0.014175271631098251
2023-07-11 11:36:13,29.55,0.2695775798148077,0.01587024877004028
2023-07-11 11:36:14,29.53,0.24912762190714943,0.015751339248201383
2023-07-11 11:36:15,29.54,0.2586776639994852,0.01748142678493619
2023-07-11 11:36:16,29.55,0.26822770609182456,0.019294330549325688
2023-07-11 11:36:17,29.55,0.26777774818416233,0.0204271509152064
2023-07-11 11:36:18,29.54,0.2573277902765021,0.020749328773028784
2023-07-11 11:36:19,29.55,0.26687783236884144,0.022679859287141634
2023-07-11 11:36:20,29.55,0.2664278744611792,0.02379970716787792
2023-07-11 11:36:21,29.56,0.275977916553515,0.02585193010852639
2023-07-11 11:36:22,29.57,0.2855279586458579,0.02798663399060403
2023-07-11 11:36:23,29.57,0.28507800073819567,0.029180158258993727
2023-07-11 11:36:24,29.58,0.29462804283053146,0.03143620022225254
2023-07-11 11:36:25,29.58,0.29417808492286923,0.03266415442931729
2023-07-11 11:36:26,29.57,0.28372812701521255,0.0327338786255386
2023-07-11 11:36:27,29.54,0.2532781691075492,0.030318322651122075
2023-07-11 11:36:28,29.54,0.25282821119988697,0.03135940848738543
2023-07-11 11:36:29,29.54,0.25237825329222474,0.03239600099631783
2023-07-11 11:36:30,29.54,0.25192829538456607,0.033428082604866974
2023-07-11 11:36:31,29.54,0.25147833747690385,0.03445563589999881
2023-07-11 11:36:32,29.54,0.2510283795692416,0.03547864362898921
2023-07-11 11:36:33,29.53,0.2405784216615814,0.03504057506785883
2023-07-11 11:36:34,29.5,0.21012846375392158,0.03151228395873136
2023-07-11 11:36:35,29.5,0.20967850584625936,0.03234905159154048
2023-07-11 11:36:36,29.5,0.20922854793859713,0.03318132374623173
2023-07-11 11:36:37,29.48,0.18877859003093533,0.030751177789852202
2023-07-11 11:36:38,29.49,0.19832863212327467,0.03316033959307812
2023-07-11 11:36:39,29.49,0.19787867421561245,0.03393604400046912
2023-07-11 11:36:40,29.49,0.19742871630795022,0.03470723387915268
2023-07-11 11:36:41,29.48,0.18697875840029,0.03367299788125829
2023-07-11 11:36:42,29.49,0.19652880049262933,0.03623602338128729
2023-07-11 11:36:43,29.48,0.1860788425849691,0.03510693042289343
2023-07-11 11:36:44,29.47,0.1756288846773053,0.0338876140022156
2023-07-11 11:36:45,29.46,0.16517892676964507,0.03257817325681562
2023-07-11 11:36:46,29.45,0.1547289688619813,0.031178710743643916
2023-07-11 11:36:47,29.44,0.1442790109543246,0.02968933243561532
2023-07-11 11:36:48,29.45,0.1538290530466604,0.03231105134522019
2023-07-11 11:36:49,29.44,0.14337909513900016,0.03072745244647246
2023-07-11 11:36:50,29.44,0.14292913723133793,0.03123988497521045
2023-07-11 11:36:51,29.44,0.14247917932367926,0.03174789107015759
2023-07-11 11:36:52,29.42,0.12202922141601746,0.027709939580143353
2023-07-11 11:36:53,29.43,0.13157926350835325,0.030437366275032355
2023-07-11 11:36:54,29.42,0.12112930560069302,0.028533968859844022
2023-07-11 11:36:55,29.43,0.13067934769303235,0.0313374910149944
2023-07-11 11:36:56,29.43,0.13022938978537013,0.031780942625251996
2023-07-11 11:36:57,29.43,0.1297794318777079,0.032219981279767815
2023-07-11 11:36:58,29.44,0.13932947397004725,0.03517951860738963
2023-07-11 11:36:59,29.42,0.118879516062389,0.030517692237061078
2023-07-11 11:37:00,29.43,0.1284295581547248,0.03351057887837601
2023-07-11 11:37:01,29.41,0.10797960024706299,0.02862921733709785
2023-07-11 11:37:02,29.42,0.11752964233940233,0.03165544020879798
2023-07-11 11:37:03,29.41,0.1070796844317421,0.02929052910228771
2023-07-11 11:37:04,29.41,0.10662972652407987,0.029614684032803134
2023-07-11 11:37:05,29.4,0.09617976861641608,0.027115274508942182
2023-07-11 11:37:06,29.39,0.08572981070875585,0.024527854998922162
2023-07-11 11:37:07,29.4,0.09527985280109519,0.027658281319218596
2023-07-11 11:37:08,29.39,0.08482989489343495,0.02497878525415662
2023-07-11 11:37:09,29.39,0.08437993698577273,0.02519790787831558
2023-07-11 11:37:10,29.38,0.07392997907810894,0.02238494562961065
2023-07-11 11:37:11,29.37,0.06348002117045226,0.019484645120681952
2023-07-11 11:37:12,29.37,0.06303006326279004,0.019608094283295383
2023-07-11 11:37:13,29.37,0.06258010535512781,0.019727438363139206
2023-07-11 11:37:14,29.35,0.042130147447466015,0.013455224035432348
2023-07-11 11:37:15,29.34,0.03168018953980578,0.010248686403908752
2023-07-11 11:37:16,29.36,0.05123023163214313,0.016784569988626204
2023-07-11 11:37:17,29.34,0.030780273724481333,0.010211341703139426
2023-07-11 11:37:18,29.33,0.020330315816817546,0.006828192483303435
