datetime,t,wind3d,wind2d,t_det,wind3d_det,wind2d_det,t_tap,wind3d_tap,wind2d_tap
2023-08-12 12:00:00.000,30.16,0.39255572852781045,0.09848857801796104,-0.4927628556479817,-0.515022062675722,-0.7143054845743231,-0.0005375207848112742,-0.0005618018082157147,-0.0007791862561525446
2023-08-12 12:00:00.500,30.19,0.3263433774416144,0.2785677655436824,-0.46281984289807454,-0.5811807811741798,-0.5341749956744102,-0.0015145716908367215,-0.001901906264245107,-0.001748080465468426
2023-08-12 12:00:01.000,29.98,0.18973665961010275,0.18973665961010275,-0.6728768301481658,-0.7177338664179533,-0.6229548002337981,-0.0036699556001937284,-0.003914611567066819,-0.003397674515382219
2023-08-12 12:00:01.500,29.96,0.08774964387392122,0.08246211251235322,-0.6929338173982593,-0.8196672495663967,-0.730178045957356,-0.005291063350899835,-0.0062587670499288355,-0.005575450644193552
2023-08-12 12:00:02.000,29.98,0.2537715508089904,0.12649110640673517,-0.6729908046483501,-0.6535917100435893,-0.6860977506887826,-0.006606965640198128,-0.0064165185336116145,-0.0067356407150118425
2023-08-12 12:00:02.500,29.98,0.42778499272414877,0.4220189569201839,-0.6730477918984406,-0.47952463554069275,-0.39051859880114226,-0.00807579994980563,-0.005753744495182054,-0.004685774351477724
2023-08-12 12:00:03.000,30.07,0.3641428291206625,0.29017236257093815,-0.5831047791485346,-0.5431131665564408,-0.5223138917761964,-0.008268615216547957,-0.007701521156890035,-0.007406580682911717
2023-08-12 12:00:03.500,29.96,0.2831960451701259,0.2831960451701259,-0.6931617663986245,-0.6240063179192392,-0.529238907802817,-0.011341326795555816,-0.01020982390702678,-0.008659264975764672
2023-08-12 12:00:04.000,29.9,0.2395829710142188,0.23769728648009425,-0.7532187536487172,-0.6675657594874082,-0.574686365118657,-0.013966980904525944,-0.012378712253391952,-0.010656444026149584
2023-08-12 12:00:04.500,30.02,0.500499750249688,0.49040799340956914,-0.6332757408988101,-0.4065953476642008,-0.3219243568149905,-0.013124197119551624,-0.008426404401760058,-0.006671657294859037
2023-08-12 12:00:05.000,29.96,0.51,0.5000999900019995,-0.6933327281488992,-0.3970414653261505,-0.31218105884836855,-0.015881093308012437,-0.009094410666043778,-0.00715064545965056
2023-08-12 12:00:05.500,30.05,0.4961854492022111,0.49254441424099005,-0.6033897153989933,-0.41080238353620124,-0.31968533323518633,-0.015136921594677968,-0.010305584122166296,-0.00801977842951744
2023-08-12 12:00:06.000,30.05,0.38483762809787714,0.3847076812334269,-0.6034467026490837,-0.522096572052797,-0.42747076486855784,-0.016454416283332617,-0.01423621058652698,-0.011656011845328006
2023-08-12 12:00:06.500,29.98,0.3407345007480164,0.33541019662496846,-0.6735036898991744,-0.5661460668149194,-0.4767169481028248,-0.019833453343293346,-0.016671967459218673,-0.014038443277972247
2023-08-12 12:00:07.000,30.07,0.535723809439155,0.5323532661682466,-0.5835606771492685,-0.37110312553604274,-0.279722577185355,-0.018457333768815837,-0.01173755278393691,-0.00884729415800377
2023-08-12 12:00:07.500,30.1,0.6000833275470999,0.6000833275470999,-0.5536176643993578,-0.30668997484035965,-0.21194121443231007,-0.018717431169161233,-0.010368976395603755,-0.00716558619448886
2023-08-12 12:00:08.000,30.07,0.6946221994724902,0.69,-0.5836746516494529,-0.21209747032723125,-0.12197324060521841,-0.021006241757629412,-0.007633312026288381,-0.004389773263022464
2023-08-12 12:00:08.500,30.16,1.15316954521007,1.1524755962709146,-0.4937316388995434,0.24650350799808696,0.3405536570398878,-0.01884563930569495,0.00940899029617511,0.012998865940845426
2023-08-12 12:00:09.000,30.28,1.113597772986279,1.0467568963231146,-0.3737886261496328,0.20698536836203396,0.23488625846627953,-0.015082289570448985,0.00835181448574238,0.009477609318400157
2023-08-12 12:00:09.500,30.24,1.0631086491981898,1.0551303237041385,-0.4138456133997295,0.156549877161683,0.24331098722149502,-0.01760067560211229,0.006657998814673702,0.010347911438120905
2023-08-12 12:00:10.000,29.93,0.6240192304729077,0.4522167621838005,-0.7239026006498186,-0.2824859089758608,-0.35955127292465133,-0.03236507267312944,-0.012629705936864634,-0.016075233142520212
2023-08-12 12:00:10.500,30.1,1.028153685010174,0.6332456079595026,-0.5539595878999108,0.12170217814914364,-0.17847112577475766,-0.02597434833275548,0.005706435698829482,-0.008368247954307708
2023-08-12 12:00:11.000,30.02,0.8033056703397531,0.6907966415668217,-0.6340165751500031,-0.10309220393353913,-0.12086879079324686,-0.0311097188276453,-0.00505849468830666,-0.005930750462991858
2023-08-12 12:00:11.500,29.96,0.5721013896155122,0.5614267539047281,-0.6940735624000922,-0.3342428520700418,-0.250187377081149,-0.03556890292441495,-0.017128806228187382,-0.012821249807500526
2023-08-12 12:00:12.000,30.02,0.9352005132590551,0.6312685640834652,-0.6341305496501874,0.028909904161239286,-0.18029426552822025,-0.03387858994947547,0.0015445191673820991,-0.009632268143274145
2023-08-12 12:00:12.500,30.1,0.9366429415737889,0.743236167042482,-0.554187536900276,0.030405965063711293,-0.06827536119501187,-0.03081486517741975,0.0016906834810256662,-0.003796361177538562
2023-08-12 12:00:13.000,29.91,1.8868492255609615,1.6743058263053379,-0.7442445241503677,0.9806658816386221,0.8628455994420356,-0.04300381056166454,0.05666466924485494,0.04985679773019644
2023-08-12 12:00:13.500,30.07,1.084665847162157,1.0231813133555558,-0.5843015114004615,0.1785361358275559,0.21177238786644526,-0.03503454757888728,0.010704974440694641,0.012697810383578766
