Date;Time;Module Address;Module Command;Value1;Value2;Value3;Value4
2023-07-11;05:05:09;1;2;34;2087;76069;11
2023-07-11;05:05:09;1;1;49;1314;510307390;134354070
2023-07-11;05:05:10;1;101;2023-07-11;05:05:10
2023-07-11;05:05:10;1;0;48;2024;81523;1005953
2023-07-11;05:05:10;1;2;34;2090;76015;237
2023-07-11;05:05:10;1;1;49;1309;510307406;134354041
2023-07-11;05:05:11;1;0;48;2024;81298;1005899
2023-07-11;05:05:11;1;2;34;2090;75932;11
2023-07-11;05:05:11;1;1;49;1296;510307424;134353947
2023-07-11;05:05:12;1;0;48;2026;81075;1005871
2023-07-11;05:05:12;1;2;34;2084;75787;11
2023-07-11;05:05:13;1;0;48;2026;81312;1005961
2023-07-11;05:05:13;1;2;34;2080;75703;64
2023-07-11;05:05:13;1;1;49;1279;510307453;134353813
2023-07-11;05:05:14;1;0;48;2027;81252;1005970
2023-07-11;05:05:14;1;2;34;2078;75649;156
2023-07-11;05:05:15;1;0;48;2027;80905;1006005
2023-07-11;05:05:15;1;2;34;2077;75619;11
2023-07-11;05:05:15;1;1;49;1269;510307466;134353775
2023-07-11;05:05:16;1;0;48;2027;80987;1005925
2023-07-11;05:05:16;1;2;34;2076;75596;60413
2023-07-11;05:05:16;1;1;49;1263;510307485;134353747
2023-07-11;05:05:17;1;0;48;2029;80959;1005951
2023-07-11;05:05:17;1;2;34;2073;75596;11
2023-07-11;05:05:17;1;1;49;1257;510307489;134353720
2023-07-11;05:05:18;1;0;48;2029;80776;1005924
2023-07-11;05:05:18;1;2;34;2073;75596;11
2023-07-11;05:05:18;1;1;49;1253;510307492;134353711
2023-07-11;05:05:19;1;0;48;2030;81000;1005941
2023-07-11;05:05:19;1;2;34;2079;75596;11
2023-07-11;05:05:19;1;1;49;1250;510307495;134353694
2023-07-11;05:05:20;1;101;2023-07-11;05:05:20
2023-07-11;05:05:20;1;0;48;2030;81125;1005897
2023-07-11;05:05:20;1;2;34;2080;75596;11
2023-07-11;05:05:21;1;0;48;2029;80868;1005870
2023-07-11;05:05:21;1;2;34;2078;75542;11
2023-07-11;05:05:21;1;1;49;1243;510307504;134353666
2023-07-11;05:05:22;1;0;48;2031;80954;1005887
2023-07-11;05:05:22;1;2;34;2081;75565;11
2023-07-11;05:05:22;1;1;49;1242;510307504;134353667
2023-07-11;05:05:23;1;0;48;2033;80967;1005940
2023-07-11;05:05:23;1;2;34;2084;75619;11
2023-07-11;05:05:23;1;1;49;1238;510307519;134353657
2023-07-11;05:05:24;1;0;48;2032;81047;1005878
2023-07-11;05:05:24;1;2;34;2079;75596;11
2023-07-11;05:05:24;1;1;49;1234;510307542;134353631
2023-07-11;05:05:25;1;0;48;2034;80692;1005958
2023-07-11;05:05:25;1;2;34;2079;75542;3054
2023-07-11;05:05:25;1;1;49;1232;510307552;134353617
2023-07-11;05:05:26;1;0;48;2034;81092;1005994
2023-07-11;05:05:26;1;2;34;2083;75565;11
2023-07-11;05:05:27;1;0;48;2036;81012;1005993
2023-07-11;05:05:27;1;2;34;2088;75665;11
2023-07-11;05:05:28;1;0;48;2038;81007;1005974
2023-07-11;05:05:28;1;2;34;2085;75718;11
2023-07-11;05:05:28;1;1;49;1222;510307587;134353564
2023-07-11;05:05:29;1;0;48;2039;80721;1005983
2023-07-11;05:05:29;1;2;34;2079;75649;11
2023-07-11;05:05:29;1;1;49;1220;510307590;134353558
2023-07-11;05:05:30;1;101;2023-07-11;05:05:30
2023-07-11;05:05:30;1;0;48;2039;80609;1005929
2023-07-11;05:05:30;1;2;34;2077;75649;64848
2023-07-11;05:05:30;1;1;49;1219;510307580;134353569
2023-07-11;05:05:31;1;0;48;2038;80517;1005921
2023-07-11;05:05:31;1;2;34;2073;75596;11
2023-07-11;05:05:31;1;1;49;1219;510307568;134353583
2023-07-11;05:05:32;1;0;48;2040;80439;1005956
2023-07-11;05:05:32;1;2;34;2073;75565;11
